event 1,event 2,cost
332,340,152000
302,283,217600
264,289,222900
368,341,227100
274,254,226700
282,270,192400
185,178,220600
222,222,223700
449,437,216800
229,230,185800
300,265,195900
282,284,179700
463,440,172300
275,266,158100
419,371,142400
311,315,195600
270,275,204600
300,302,209600
247,235,210300
254,262,217100
433,407,224200
422,427,208600
289,291,199200
344,347,218400
296,304,238000
468,419,239900
399,401,195700
395,375,195300
276,268,216900
335,337,223300
383,362,232900
815,781,225900
527,507,236200
390,416,221600
565,524,243800
271,287,379600
771,738,222500
429,419,252100
538,499,271200
298,314,329200
,550,308400
838,807,311800
300,302,348200
305,293,320500
592,586,500001
536,529,445400
661,625,352800
510,504,237300
2139,1979,254200
354,397,332500
1664,1500,290900
1872,1747,261300
712,746,258000
845,872,500001
1131,1054,357100
895,882,375900
924,915,277200
1653,1581,262100
1070,1034,271500
1506,1451,276600
225,205,277600
410,439,333700
142,110,350000
572,530,327300
758,780,333700
2355,2194,230300
1525,1463,254500
243,242,500001
362,378,500001
778,778,273100
647,590,236900
2387,2225,193300
609,609,419900
769,725,280800
529,539,248400
432,454,221800
648,585,221900
773,727,230200
1209,1128,168800
314,340,234900
339,340,230400
1464,1347,229000
558,549,500001
664,657,483500
448,423,477200
949,876,418500
210,219,472200
1537,1509,323100
1164,1083,264000
719,644,275300
601,574,232900
543,528,230400
378,401,322200
1082,1016,407500
1018,1010,245100
918,850,454400
1101,1031,318100
984,941,240000
513,497,211600
342,333,241400
380,380,212300
1160,1034,170700
477,456,238900
661,621,255400
412,414,267600
470,458,253900
446,445,244200
316,307,262300
389,331,241100
380,344,257300
412,423,315300
573,586,319000
683,693,242300
314,288,238200
2717,2452,160000
310,297,258600
263,292,273100
707,650,239900
1499,1377,169400
1768,1632,154600
239,241,151900
220,218,183800
313,296,171400
281,286,177200
195,185,179200
101,100,175900
212,212,165100
288,293,153900
553,532,159300
60,83,174300
324,351,176000
565,497,162500
2193,2038,136500
1767,1581,157600
794,647,205900
231,236,173700
261,272,178700
293,288,182500
301,307,184000
435,399,178200
457,446,186700
323,310,233000
390,385,181500
265,246,183800
279,288,189000
228,231,176500
369,356,173700
241,233,172700
387,353,183100
360,340,184600
214,223,183800
344,314,178200
429,442,181800
617,566,170700
333,309,168200
601,579,184400
1168,1097,183000
1369,1267,183700
786,695,185700
2814,2660,145400
266,248,178800
335,343,185100
325,322,168600
399,378,168600
429,455,233700
1209,1054,175500
295,306,187300
222,230,186300
544,506,191500
459,446,193200
181,187,181300
540,491,183800
266,274,190000
185,170,231500
246,236,229200
317,311,164600
463,448,151500
42,29,158300
545,503,179500
831,795,181900
299,320,161600
349,337,172700
518,524,210500
292,267,239900
149,155,165200
334,345,186800
441,432,178500
868,803,172400
344,318,177700
303,300,170600
484,466,179100
589,568,198600
543,540,237400
48,33,187500
278,274,207300
326,303,176400
455,484,176600
558,484,175700
581,530,174100
100,102,150000
742,670,183200
348,351,160300
374,389,154300
65,50,152900
145,158,169500
1171,1068,181700
1028,973,177200
470,423,159600
609,597,171800
395,405,171200
309,306,170400
685,664,176400
423,386,188700
605,599,194900
512,500,198900
821,705,185100
485,461,192000
710,657,162500
732,731,181300
867,836,171600
394,404,176300
285,248,187500
1293,1200,211900
231,230,181300
655,609,226400
599,574,191300
242,247,200000
654,610,217200
908,839,221500
145,148,193800
572,573,222500
970,948,231700
,737,290100
790,775,269700
830,786,230800
880,812,225600
646,637,335500
353,333,202200
662,597,267500
510,507,282200
150,166,382400
225,228,190700
356,323,237900
513,496,262200
425,400,224600
126,129,216700
356,368,261800
899,791,312700
911,871,286000
989,876,204200
389,414,240200
818,773,241500
91,112,223800
191,191,192900
250,228,364700
284,262,384700
580,551,364700
505,510,465800
428,402,330900
289,302,181500
568,526,190800
1527,1432,165300
651,574,200000
454,392,238500
372,385,222400
373,374,190200
300,252,178400
179,179,186400
264,258,177400
794,746,177300
1060,1010,174200
354,334,200000
505,466,199500
416,427,191800
663,614,276100
648,615,366100
384,406,291700
696,621,292900
507,485,341800
331,340,336900
489,463,353600
478,490,343400
184,187,333900
602,535,365000
363,370,359700
1040,961,367900
150,130,275000
566,545,386100
1283,1180,269200
,1492,221500
748,697,283600
1611,1491,265200
279,283,414300
286,258,444700
622,557,192300
593,585,309400
501,474,319400
560,528,194100
1011,857,185400
171,181,184400
473,429,221400
350,321,325000
2007,1790,250000
748,680,225000
618,578,262500
382,352,282300
709,670,274300
556,493,325000
1148,1041,232400
871,789,209400
335,342,322900
442,429,417900
393,402,500001
1271,1053,140500
671,640,226500
435,417,241300
1477,1369,221200
733,707,195600
1150,1090,202100
816,802,202700
657,535,186900
603,584,220000
1143,1002,229100
723,649,197400
559,513,189900
1214,1092,93800
449,420,225000
571,553,202000
206,202,215800
344,305,217700
1083,967,255400
864,777,191700
1594,1381,221100
423,423,210400
1477,1195,281700
943,843,292900
450,455,190500
800,742,230800
1350,1258,205600
254,253,192200
1820,1632,233500
295,309,256300
694,679,238100
623,554,234900
478,495,225600
950,889,232500
739,712,245500
344,347,243600
959,835,215500
459,438,199100
568,572,271100
496,528,221000
951,768,178100
592,556,154200
900,855,181300
826,713,158300
719,718,174200
196,196,225000
388,380,228800
442,417,246400
386,397,251400
465,419,253200
270,256,215000
1134,958,286700
486,450,225000
1105,1017,210000
414,391,286100
404,412,266000
424,429,353100
102,113,500001
642,599,279400
467,476,379700
642,623,328500
322,311,337500
1358,1220,272600
527,470,277300
687,658,261300
675,620,309300
1737,1610,273700
500,492,314800
622,545,280400
647,540,299100
1826,1697,227100
566,547,199200
300,309,224100
349,366,201600
453,419,203700
523,472,222100
229,245,236100
310,308,215900
387,392,209200
421,398,223600
285,272,213200
222,226,195400
272,248,203300
424,427,206700
299,282,211000
849,867,199800
796,725,213200
490,434,246400
329,317,205100
242,248,196800
294,306,197000
838,810,208700
1849,1773,189800
594,581,199800
818,763,205300
332,311,200300
308,330,209000
434,414,188400
287,273,193700
322,334,203800
479,472,262500
581,535,227500
418,421,229200
409,379,221100
933,909,229100
490,445,228300
509,470,224700
1304,1222,195000
346,354,207200
662,603,191100
651,628,179800
,1280,170600
420,415,211800
170,163,203900
275,284,206900
347,343,212100
692,633,192300
388,427,245400
885,778,240300
308,286,190900
,403,196700
144,140,201400
242,221,183600
561,517,235100
224,270,251000
790,737,239200
457,425,240300
170,192,222500
370,360,223800
696,633,217700
669,645,178800
185,178,201900
252,249,220900
606,586,258400
793,765,270500
753,708,255200
1317,1226,299300
441,468,228200
353,344,250900
320,305,227700
521,514,225400
2560,2387,227500
557,576,251500
275,289,241300
517,513,258600
471,428,232900
228,245,180500
467,475,160900
431,406,227100
542,492,235800
647,588,244800
574,574,390000
665,687,500001
1084,1058,338400
553,545,234900
1045,950,336100
868,785,183500
,677,179800
941,829,150000
857,784,182300
362,355,221000
167,179,190400
1869,1699,208000
744,692,223700
441,426,215600
469,445,201500
311,315,209200
267,249,220200
228,216,221300
372,347,266700
399,336,224900
1071,1033,222800
1079,1078,187500
142,143,340500
402,388,244800
468,439,333100
307,315,267400
284,270,245800
749,701,246400
127,127,210100
4183,3302,213900
591,563,259600
242,233,433000
373,377,245600
494,470,248400
623,615,263400
571,521,247300
339,326,240300
511,497,243000
1031,1043,374900
787,743,338200
903,883,409000
441,413,439800
318,342,327300
574,587,334900
2691,2447,271300
1345,1250,328900
355,296,262800
538,519,308300
760,730,389700
656,643,367600
857,843,419000
362,360,278500
815,749,319100
647,624,367400
455,411,347700
487,495,392700
791,780,409900
383,357,500001
1082,958,500001
359,329,296000
584,544,313100
667,631,338500
706,673,500001
547,535,450700
330,304,369700
744,695,361900
155,145,483100
674,684,311700
365,324,295300
834,760,219000
380,349,213100
438,393,216000
410,386,221800
1412,1348,243800
174,160,315900
529,525,311000
291,278,457300
1994,1823,174500
1976,1894,189300
433,373,443600
891,860,425000
297,274,500001
391,387,500001
4457,4204,259600
478,435,335400
762,750,290600
1995,1809,500001
309,274,500001
488,485,500001
523,500,424000
387,376,500001
,155,303600
360,363,500001
441,421,500001
,528,500001
904,876,500001
906,860,500001
1295,1257,500001
1189,1162,500001
1706,1497,295800
214,217,467600
667,590,447400
425,426,360600
1457,1326,382500
251,251,500001
1076,1016,359100
286,279,301700
337,343,304500
2038,1922,318300
260,266,332600
799,753,478400
300,280,265400
1200,1139,334900
1473,1299,457300
740,612,392500
117,110,500001
429,424,495500
536,525,500001
1143,1109,500001
771,753,500001
420,379,500001
610,607,500001
239,216,500001
695,666,500001
274,267,490800
238,211,500001
698,651,500001
921,835,366100
1319,1227,263100
617,573,376100
546,523,320600
619,579,365900
650,642,394400
181,183,425000
1062,987,256300
909,846,369100
868,869,425900
131,126,371400
420,333,372300
430,360,355900
70,59,341700
9,6,375000
500,417,380400
510,484,374500
866,830,364700
259,258,424000
317,320,295200
1560,1411,197900
1161,1094,367700
225,224,386700
1034,960,309200
713,659,373500
278,278,385900
679,638,409600
1180,1130,495600
512,478,396400
627,615,500001
781,719,500001
354,357,483800
1156,1125,500001
281,264,399300
89,88,360700
143,130,497600
892,800,500001
518,516,500001
406,387,274600
271,239,247700
646,620,293900
488,456,257900
300,297,291500
89,91,175000
708,644,258100
526,543,272400
466,390,204200
407,387,186500
628,588,189800
378,371,217000
523,498,209200
458,434,180400
459,438,193600
611,570,214200
420,366,173800
174,162,178100
475,452,182100
311,283,165100
488,471,167900
672,605,169200
737,655,173400
720,725,232000
302,293,198000
132,163,162500
682,583,146400
324,282,170600
720,709,172100
824,795,196400
588,574,173600
426,406,167600
503,453,162000
360,321,173900
514,498,175800
389,361,190000
173,186,171300
1068,993,162900
525,480,156400
398,407,155600
820,813,176900
348,315,150000
749,679,167700
391,298,183800
398,344,152200
309,322,169300
457,437,143800
379,378,153900
534,500,185700
611,545,166300
1197,1163,154500
499,533,228200
316,330,218300
1271,1106,186800
788,764,252100
249,229,143800
587,553,152900
533,535,241700
412,382,148200
386,340,196600
379,416,157000
488,447,149700
415,410,138900
275,243,165000
201,161,181300
235,268,244400
166,131,212500
580,511,205800
149,145,185800
,294,214800
426,417,244500
1025,942,185400
439,412,170500
529,565,220900
242,255,240800
465,408,183800
301,300,204200
491,479,221100
191,191,223500
971,892,187100
418,330,153100
892,765,168800
26,35,154200
451,426,178800
348,333,176700
646,606,156000
698,653,214000
510,503,210900
583,543,217800
635,606,208900
369,351,156300
456,432,141300
42,40,170000
147,144,164300
956,878,277300
402,335,270700
1211,1030,204500
359,418,208900
396,416,230300
539,486,276600
916,746,352600
1156,1099,495600
331,332,438300
312,337,500001
476,477,209100
520,485,238200
440,417,230600
570,580,500001
737,669,264300
582,538,254200
443,429,265500
1125,1031,266700
379,380,500001
295,287,436400
675,606,391900
1980,1874,283300
218,206,500001
245,237,500001
303,293,433300
561,536,500001
443,414,498700
800,783,393500
543,482,434400
1450,1292,435700
1579,1397,410700
1100,994,438300
464,461,342900
434,457,430200
273,264,500001
416,392,500001
417,410,500001
1423,995,500001
1242,1133,500001
1050,935,364500
281,273,405100
247,230,500001
2793,2270,225000
1038,980,372200
782,739,436400
1301,1116,250000
1803,1755,237500
348,333,468800
1452,1265,500001
791,672,325000
752,684,232100
2446,2127,187500
1646,1429,333300
2158,2028,350000
716,620,450000
2961,2769,340000
1715,1612,262500
1033,890,250000
347,305,350000
524,483,237500
696,611,237500
734,644,193800
1171,1083,162500
682,579,200000
288,278,250000
141,134,67500
839,775,211100
267,265,100000
,312,193800
191,185,250000
98,112,175000
690,633,221900
675,653,225000
229,227,200000
965,836,137500
270,273,206300
1367,1174,166700
1215,1223,218800
420,360,216700
914,853,250000
899,839,203300
1114,1021,187500
993,927,230400
298,274,162500
792,739,172500
275,194,175000
658,614,225000
648,597,112500
998,912,158300
1116,1008,198400
173,151,262500
322,353,261600
1190,1102,253300
852,862,205600
674,635,226700
842,689,187500
1263,1141,240600
846,813,218200
,726,208800
766,819,212500
819,763,218800
186,138,200000
180,127,165000
687,542,220000
954,766,204700
999,841,210000
854,841,346700
502,466,321600
186,178,500001
546,478,280600
200,204,395700
388,375,342000
643,605,315800
350,355,333900
480,451,304800
257,251,380400
454,439,500001
832,775,442900
457,423,254500
823,720,287500
534,525,358100
521,450,220000
304,297,330300
473,434,380300
1047,970,247500
503,450,205600
510,518,251100
534,497,227100
182,170,210000
937,858,212500
651,559,225000
1063,1028,258300
823,763,173900
130,140,137500
399,391,500001
610,632,500001
1678,1500,500001
695,620,500001
523,474,416700
979,957,500001
838,745,500001
67,47,500001
586,525,500001
957,880,500001
126,125,500001
582,577,355300
764,763,367100
695,650,374100
938,816,300000
706,689,500001
483,455,397900
254,253,393600
223,213,423700
571,563,318600
263,208,350000
519,510,421600
740,707,412700
1130,1030,306800
203,213,352100
348,332,397500
437,388,360500
585,567,324000
398,418,304600
467,438,210900
246,235,200000
880,796,217300
295,286,344800
763,710,268800
663,597,196500
555,491,252300
366,333,278800
833,788,241400
222,201,230800
912,861,225000
276,260,166700
360,363,203300
250,252,187500
365,296,198800
813,765,170500
184,202,187500
,422,160000
801,792,157500
854,814,184300
374,372,200000
773,746,203100
253,244,185000
556,450,170800
522,440,182000
464,482,228800
896,818,213500
543,510,169100
1197,1009,219200
440,445,156300
119,114,143800
20,24,187500
26,24,137500
239,234,136100
456,430,150000
484,441,155500
429,418,210000
20,17,241700
438,374,200000
689,662,169200
635,613,174300
470,417,189400
660,675,166700
627,557,167800
765,682,189800
827,792,179200
703,648,181700
200,189,232100
618,544,217900
322,306,175000
17,25,225000
80,82,137500
1420,1286,192500
225,218,133300
282,263,150000
117,131,154200
562,503,152100
298,263,115500
309,328,114000
380,367,139600
551,500,159600
361,299,133900
807,802,173200
430,378,138200
429,424,126000
423,403,213000
808,764,153000
353,345,138500
445,391,144200
498,506,159200
477,498,145800
250,245,158300
300,274,160200
,439,167200
383,371,191700
404,389,153100
318,323,168800
413,394,147500
920,800,170800
595,601,142500
89,92,145800
271,284,153800
708,674,148800
426,384,184900
530,537,144200
398,369,200400
445,412,166700
689,577,153100
267,235,230900
602,549,129300
381,374,139500
665,650,166300
337,348,169600
364,351,163100
415,346,175000
302,333,162100
797,780,156500
797,793,146600
311,289,135500
408,377,151900
378,352,144600
181,179,158500
231,228,147500
630,621,156000
544,467,150000
55,50,135700
225,241,148500
565,577,148600
159,163,137500
658,594,93800
119,132,112500
335,337,111800
204,174,137500
302,305,133600
675,674,142800
79,64,125000
101,86,109400
153,149,156800
6,10,112500
470,444,137500
115,123,109100
364,338,153100
,290,155000
478,434,157100
258,236,129200
306,285,131900
357,345,136400
607,625,144000
317,303,141700
323,321,121900
318,273,117200
586,581,147200
398,407,150000
266,259,127900
264,245,124300
401,385,121800
234,239,134900
305,281,150000
246,249,136700
246,231,142600
307,297,136300
408,379,127600
452,445,122800
386,373,143800
490,478,147200
544,515,125000
227,218,135400
479,480,135300
249,252,165000
393,352,148400
809,727,151600
271,281,155000
411,409,139300
235,226,114300
308,325,141700
346,372,115600
803,707,115000
477,477,152500
391,346,139600
214,218,139600
472,456,141800
407,403,141100
132,121,146300
228,231,145000
334,322,135200
317,301,146000
209,203,135200
392,377,140800
157,174,140600
203,188,129700
770,721,144800
593,598,130700
9,9,175000
120,119,126600
7,7,67500
513,487,133300
270,251,225000
697,669,181300
107,92,112500
199,193,350000
552,517,87500
1021,978,162500
1944,1605,350000
1256,997,275000
1438,1088,287500
52,27,500001
566,473,162500
66,57,312500
123,105,175000
273,263,131300
613,587,185900
273,249,165600
238,214,187500
282,300,225000
1282,1189,87500
428,407,213300
788,764,154200
341,320,152100
579,598,152500
686,614,208300
468,430,183300
331,314,207100
1281,1182,216700
926,792,265900
536,489,190000
3179,2902,177500
853,763,400000
1196,1000,175000
1168,1137,137500
1176,1036,112500
353,319,187500
338,321,275000
1047,1012,110000
245,248,137500
864,724,275000
616,581,225000
454,354,187500
,1179,162500
836,784,325000
674,541,225000
637,598,275000
730,652,162500
774,702,158900
597,614,162500
384,375,212500
359,307,112500
,682,118100
214,189,225000
328,365,275000
306,311,500001
240,218,500001
255,265,500001
171,161,500001
309,281,500001
310,290,432800
315,329,316700
1118,1008,290600
815,761,141700
269,261,300000
1124,1004,253100
1345,1304,300000
664,556,230600
2610,2406,237500
757,740,282300
738,723,281700
949,894,305600
630,594,350900
794,749,445000
366,359,500001
147,136,450000
246,204,500001
707,664,404500
100,120,500001
2055,1822,166700
1269,1218,412500
,1462,175000
1248,1191,500001
896,823,75000
1197,1055,325000
1707,1529,112500
2530,2374,300000
740,672,150000
2293,2156,70000
1111,1104,187500
1012,877,350000
872,827,137500
778,697,233300
1283,1084,270000
1490,1335,475000
1203,1118,322200
453,426,500001
1533,1472,187500
667,589,410000
756,756,328900
1084,993,360000
646,567,380000
713,674,291500
584,569,436800
722,612,337000
231,248,433800
527,502,257800
390,404,226300
519,466,171300
364,302,327300
1183,1146,250000
423,406,305800
365,384,417600
650,593,115600
610,545,214300
223,223,350000
457,485,157700
720,633,193800
589,540,193800
,439,168800
569,501,161100
588,589,187500
1661,1534,250000
370,341,350000
1252,1200,229200
313,293,479000
406,412,500001
356,345,500001
319,297,450000
163,167,500001
195,196,500001
284,272,500001
598,564,500001
542,510,500001
721,704,175000
601,576,225000
488,478,175000
255,232,450000
2154,2041,287500
410,397,350000
880,809,500001
447,441,355200
360,357,411100
,516,405600
451,435,456900
437,384,486900
435,432,486400
663,619,287500
526,546,453400
247,255,474300
1307,1191,485000
1381,1209,375000
956,890,500001
1057,997,225000
1360,1245,500001
170,214,500001
458,449,321600
417,377,396000
336,300,327300
602,551,250000
279,309,385000
322,303,440900
836,736,328800
826,827,400000
670,624,355000
455,395,500001
160,151,446000
289,252,500001
616,574,362500
1008,876,450000
1158,1070,310000
661,636,500000
552,523,345300
231,219,278500
234,222,275000
544,522,296100
423,411,470000
437,400,444300
306,308,440900
506,464,500001
404,363,322600
300,278,295200
380,370,243600
184,194,242000
395,409,254700
812,758,338100
480,417,417900
314,311,474100
231,226,351000
210,214,334100
,187,333600
598,563,287500
879,784,500001
679,594,234100
493,469,158000
,271,202100
,475,252000
451,443,290800
419,402,213500
292,285,140600
414,409,195800
504,438,259400
812,794,172700
330,313,165000
328,311,156300
251,239,192500
795,725,268500
401,372,420000
472,465,167100
607,565,139700
662,617,127100
529,500,123200
601,546,150700
266,297,151600
357,335,179200
429,405,139400
417,379,157000
375,372,146800
379,359,133500
,292,122200
806,765,125800
423,375,169400
208,183,110900
459,460,138000
360,337,171400
331,356,118800
494,427,134600
333,306,138100
444,393,161500
624,582,183900
443,426,251100
532,519,151100
404,367,168800
223,223,176800
935,801,114000
826,688,137500
198,193,223200
349,335,127800
453,438,121500
587,546,127100
460,433,133400
346,338,114200
399,375,118200
391,366,125700
625,603,125000
320,318,181000
385,441,156900
530,447,124000
524,436,123300
92,116,134700
512,501,125400
342,295,143800
661,614,113500
376,315,120000
499,482,125900
638,607,120700
287,307,140900
502,477,134100
371,389,136600
261,260,130300
276,265,130200
561,508,125000
333,329,189700
285,296,188400
458,377,193200
838,791,152500
433,424,153400
291,290,132500
349,323,143800
488,487,123700
522,488,180000
314,306,162500
506,464,121900
515,439,190600
571,554,229200
640,640,500000
726,681,208300
578,570,214600
867,753,150000
501,435,227800
285,334,234600
585,538,175000
399,390,150000
686,630,170300
579,535,143000
426,393,162500
345,330,152800
299,298,128100
182,186,125000
557,526,136400
289,238,151600
378,288,179200
1384,1213,258300
437,441,135200
1235,1063,168800
287,279,119600
510,476,135500
406,385,132200
284,295,111400
324,265,105800
278,276,98100
441,420,98400
559,504,147900
374,357,150000
,245,138400
766,729,187500
517,495,156600
397,361,127100
469,431,112100
483,416,116800
491,453,141300
772,705,137500
478,423,119300
229,217,500001
232,243,175000
422,381,125000
241,229,162500
545,516,160200
780,719,200000
454,453,180000
474,460,275000
791,719,147500
796,658,164600
513,458,162500
633,621,127300
103,96,38800
284,205,187500
809,572,350000
550,472,225000
89,76,158300
47,45,312500
90,68,100000
418,368,124000
448,432,130700
285,310,123100
349,340,136500
362,327,126400
501,474,117700
440,400,96200
357,331,114800
323,313,109600
232,228,119500
486,461,114300
525,515,100800
136,128,90300
410,396,119900
150,114,90600
99,110,107500
444,433,99200
403,377,100800
86,68,127500
270,235,93400
262,236,99300
386,354,107200
475,469,100500
291,263,110200
208,206,118800
323,325,115800
668,598,99600
289,281,126800
253,221,118300
375,366,97200
355,341,116100
556,519,129200
264,221,114100
385,372,113300
428,409,103800
461,441,107400
237,215,95800
682,609,108200
492,453,104200
267,229,105800
309,292,105000
342,304,102900
475,474,90400
552,521,95800
157,173,87500
206,187,95000
363,317,101300
414,389,108200
116,96,98600
372,353,88200
574,527,98500
319,324,107900
479,458,91900
697,630,103400
599,529,101500
434,390,110800
381,358,106900
465,438,95000
505,464,103500
140,123,100000
294,282,100000
447,402,97100
167,144,162500
426,374,156300
312,221,143800
1095,949,122300
626,528,103800
582,557,118800
670,661,108000
290,281,111700
354,293,109400
216,201,116900
533,470,115200
566,547,117100
489,448,108800
532,498,121000
475,444,123200
350,366,123700
223,188,123200
673,583,125000
421,384,116000
428,394,136200
343,334,134400
775,740,132000
463,458,114100
468,403,112500
207,231,137500
518,472,142500
794,770,122900
245,237,103600
308,275,131300
190,188,126600
921,887,118800
417,380,119200
284,247,112500
725,651,124000
376,344,96100
387,380,105800
493,471,111700
295,271,128600
281,230,134600
355,353,116100
494,458,109600
377,356,116400
246,238,111600
309,276,129100
354,312,128000
379,405,120000
642,613,122500
362,322,116400
433,433,101400
359,333,126600
339,316,104800
358,249,100000
636,596,114800
588,521,96500
533,554,101100
703,687,98300
530,497,103400
342,329,101900
481,484,95000
321,282,99300
645,581,128000
256,260,194300
308,340,189700
377,341,157700
371,368,123400
361,373,182600
259,291,193000
378,416,181100
913,848,165800
564,472,187500
463,445,188500
492,493,181300
693,675,112600
460,469,120900
388,317,121500
187,173,133300
320,308,151600
479,394,98700
269,283,114200
387,364,126500
315,286,149600
335,297,170500
284,280,115200
232,232,108900
550,545,122500
322,305,140300
210,217,114700
277,255,104300
331,308,101000
339,314,103300
1199,1046,113900
489,476,108900
796,721,149100
433,401,140400
409,414,149000
380,371,180100
461,426,207600
132,121,166700
314,310,108600
320,279,138800
333,328,118600
931,841,118500
579,573,158800
369,377,156400
798,808,195800
466,464,350400
430,382,246800
450,426,140600
313,336,170500
359,341,312500
1102,953,106300
735,702,266700
246,245,187800
1073,1035,167900
1576,1371,118800
1069,956,87500
601,603,353200
,749,332100
621,558,301000
304,311,100000
513,464,103000
235,236,108900
416,370,108300
398,363,112900
326,283,98200
384,329,94500
388,321,93300
452,427,91400
54,77,111700
196,228,108000
426,343,96500
331,295,96600
454,410,106600
379,371,112200
446,394,119800
555,455,97200
231,223,93100
315,277,94000
445,404,95800
410,382,102400
270,274,95200
768,725,100000
300,254,110000
345,331,92200
193,217,93000
416,365,92300
313,277,121400
318,289,100000
271,281,102600
566,521,107000
634,568,100000
672,588,107300
317,304,98500
289,285,99800
200,190,124100
451,412,119400
325,302,124200
422,380,125800
277,288,142600
314,312,136100
286,250,131700
326,314,120000
358,342,131000
333,316,133500
430,411,149600
393,394,142000
569,500,121000
493,462,131800
303,320,136300
356,338,138700
587,506,134200
417,368,113200
442,439,109500
618,529,136300
340,352,98400
562,514,102100
802,715,99000
1208,1007,116300
417,368,117400
460,413,127400
322,339,140400
392,415,140300
443,442,97500
584,535,101500
323,297,104000
162,170,101800
312,311,97500
424,429,99200
588,570,97000
457,401,92500
206,188,98200
351,323,98200
308,295,96300
352,334,100600
249,250,95700
371,366,96800
642,631,90100
688,630,101400
497,499,97300
295,292,86400
203,177,92600
500,447,99100
374,358,94200
347,298,95300
323,327,94000
346,362,90600
394,351,90100
270,265,91700
276,255,90900
358,357,97900
346,355,95100
369,344,94400
375,361,100000
383,350,89800
399,387,96700
538,524,94800
304,250,101300
221,189,99100
611,600,91400
362,327,99300
205,208,89700
409,367,111400
695,627,102300
428,411,93200
292,252,105600
278,315,107700
494,490,93600
291,299,94900
275,270,91600
204,162,89700
208,192,86200
226,236,101300
248,221,98000
315,303,88800
351,322,98500
326,273,89800
218,237,93400
378,399,96700
329,315,94600
265,247,99600
270,273,94500
410,389,94200
318,285,89800
181,167,90300
403,406,93200
135,121,91300
165,171,92400
221,178,94900
369,347,92700
247,225,95400
295,293,104800
147,132,110200
244,255,98900
346,324,88800
344,340,88700
397,362,93100
561,504,96900
278,277,94100
375,354,94200
130,114,81300
338,355,100000
460,429,97400
379,352,129900
338,329,105700
257,226,122600
461,433,120200
198,168,128100
500,470,88400
282,277,90400
74,79,90600
112,120,90600
33,45,90600
312,312,99800
378,334,91300
,231,90400
671,683,87500
280,286,89500
147,147,97500
543,507,97400
342,310,107600
,476,95700
125,98,90200
200,220,100000
270,270,87500
734,667,100000
233,228,85400
241,233,84200
180,144,88300
258,248,86300
201,219,89800
106,100,90000
273,265,95500
258,234,90100
267,263,97600
,302,92100
211,204,92000
123,118,87000
532,535,104900
282,253,88700
1012,960,500001
753,697,500001
303,270,500001
1440,1352,500001
200,197,500001
1617,1511,500001
392,334,500001
90,93,500001
176,145,500001
842,796,500001
525,484,500001
1141,1106,500001
879,868,500001
777,638,500001
484,523,500001
549,542,500001
360,310,500001
366,352,500001
1117,1061,500001
163,160,500001
833,757,500001
325,311,500001
315,340,500001
1142,1096,500001
1092,1052,500001
239,242,500001
343,299,500001
349,325,500001
525,526,500001
1858,1724,500001
130,134,500001
254,256,500001
264,261,500001
763,665,500001
542,550,500001
456,410,500001
691,637,500001
190,171,500001
433,399,500001
528,516,500001
216,224,500001
1789,1652,500001
1532,1442,500001
719,663,500001
1151,1017,337500
1002,983,387500
1193,1121,500001
1033,962,500001
434,396,500001
214,209,500001
148,152,500001
483,439,500001
656,593,500001
748,666,500001
332,296,500001
959,867,500001
263,224,350000
292,213,500001
1452,1252,350000
1609,1539,350000
1264,1131,500000
215,226,500001
456,407,500001
301,318,500001
460,414,500001
1695,1450,500001
1192,1036,500001
435,417,500000
1312,1232,316700
641,463,500001
267,267,500001
1073,881,500001
1119,807,500001
565,536,500001
284,274,500001
664,572,500001
1018,932,500001
90,97,500001
334,321,500001
1126,937,500001
290,305,500001
949,893,477300
1538,1429,305000
871,791,500001
435,412,494700
399,406,181300
1045,940,283300
1321,1241,277500
2138,1844,410000
1287,1217,275000
1036,977,337500
1491,1420,268800
1010,915,393800
718,699,325000
850,784,360000
897,758,420800
707,673,348100
648,593,360200
168,175,300000
402,363,336300
7,7,225000
6,4,350000
662,631,347800
308,307,485100
276,273,409800
569,516,427500
2211,1899,500001
652,608,500001
402,386,500001
923,805,500001
268,282,500001
174,190,500001
296,269,500001
386,363,500001
95,106,500001
576,554,412500
559,531,500001
459,432,500001
701,658,460000
261,249,500001
332,327,500001
635,577,500001
348,357,500001
272,267,500001
312,305,500001
286,283,461300
537,511,500001
145,149,500001
203,204,500001
592,543,207700
727,672,254200
130,118,340400
771,758,309100
569,553,271600
23,30,237500
277,289,340400
279,269,308300
536,481,232500
1050,914,319400
318,287,319400
201,199,372800
1394,1250,327300
2331,2144,300000
201,228,184400
1192,1147,366700
756,692,281300
1866,1752,320000
509,437,55000
1978,1845,275000
569,527,222100
375,370,230900
170,161,202800
424,382,143000
255,246,185700
161,131,333300
278,290,289400
223,221,427300
311,306,373600
429,387,340800
516,435,372700
176,158,344200
659,588,352400
388,352,346700
205,224,357600
189,202,331000
303,274,343800
320,304,318100
528,481,353900
265,251,350900
308,321,386000
246,240,400000
221,228,418800
250,228,440100
240,229,354300
418,417,405800
490,461,500001
242,247,489800
632,617,465700
437,368,500001
244,242,500001
516,514,500001
131,156,374300
1311,1185,463600
815,781,340800
444,413,414100
737,665,394700
942,947,450000
357,362,307000
1134,898,348800
842,789,301900
442,420,310000
1472,1334,225000
618,625,315500
